relpath,hash,class,run,cache_file,x0,y0,x1,y1,roi_confident
Fail\Dent\250825_151708_A35W_14-3 [16].bmp,8845902c8dea51a8b9e1d041c3fcf3a1,Dent,250825_151708,8845902c8dea51a8b9e1d041c3fcf3a1_v1_fefa1c62.png,297,605,2032,1232,True
Fail\Dent\250825_151708_A35W_15-3 [16].bmp,a9b9d35c110cf59c881ccaa1c6a3daa3,Dent,250825_151708,a9b9d35c110cf59c881ccaa1c6a3daa3_v1_fefa1c62.png,307,610,1997,1234,True
Fail\Dent\250825_151708_A35W_16-3 [16].bmp,fe3d99181d235f4a0c07b2995c8d7240,Dent,250825_151708,fe3d99181d235f4a0c07b2995c8d7240_v1_fefa1c62.png,0,590,2065,1261,True
Fail\Dent\250825_151708_A35W_17-3 [16].bmp,d3b73ff5fa858d95d66784973f245854,Dent,250825_151708,d3b73ff5fa858d95d66784973f245854_v1_fefa1c62.png,302,597,1963,1224,True
Fail\Dent\250825_151708_A35W_18-3 [16].bmp,bd024be654e650cdcc9336e985cb1d4a,Dent,250825_151708,bd024be654e650cdcc9336e985cb1d4a_v1_fefa1c62.png,217,596,2004,1249,True
Fail\Dent\250825_151708_A35W_19-3 [16].bmp,ec1f3e5c95c931da9fdeb4853e673270,Dent,250825_151708,ec1f3e5c95c931da9fdeb4853e673270_v1_fefa1c62.png,301,597,1988,1240,True
Fail\Dent\250825_151708_A35W_4-1 [1024].bmp,9828989fee429652acf8b36bc6341945,Dent,250825_151708,9828989fee429652acf8b36bc6341945_v1_fefa1c62.png,201,659,2198,1320,True
Fail\Dent\250825_151708_A35W_5-1 [1024].bmp,7c5850a89d05a60088a36b7515120056,Dent,250825_151708,7c5850a89d05a60088a36b7515120056_v1_fefa1c62.png,185,666,2288,1323,True
Fail\Dent\250825_151708_A35W_6-1 [1024].bmp,be97524151869fb99cc3955681af976a,Dent,250825_151708,be97524151869fb99cc3955681af976a_v1_fefa1c62.png,186,665,2227,1330,True
Fail\Dent\250825_151708_A35W_7-1 [1024].bmp,3076f2ef12cb75f1b571130f6768bf98,Dent,250825_151708,3076f2ef12cb75f1b571130f6768bf98_v1_fefa1c62.png,195,675,2246,1336,True
Fail\Dent\250825_151708_A35W_8-1 [1024].bmp,4d5c1371e9e6ff562e36becf6de9bfd2,Dent,250825_151708,4d5c1371e9e6ff562e36becf6de9bfd2_v1_fefa1c62.png,172,657,2448,1340,True
Fail\Dent\250825_151708_A35W_9-1 [1024].bmp,12f873973688d6a702ba2e6d388c7755,Dent,250825_151708,12f873973688d6a702ba2e6d388c7755_v1_fefa1c62.png,196,670,2187,1309,True
Fail\Dent\250827_104700_A35W_14-1 [1024].bmp,087d88823a511e497631825c8eb56027,Dent,250827_104700,087d88823a511e497631825c8eb56027_v1_fefa1c62.png,186,674,2214,1331,True
Fail\Dent\250827_104700_A35W_15-1 [1024].bmp,ac4c79d7ed62ebc0dc501879520bf156,Dent,250827_104700,ac4c79d7ed62ebc0dc501879520bf156_v1_fefa1c62.png,190,678,2267,1349,True
Fail\Dent\250827_104700_A35W_17-1 [1024].bmp,0702f93bc3f768385f051ba2eb326755,Dent,250827_104700,0702f93bc3f768385f051ba2eb326755_v1_fefa1c62.png,199,679,2305,1344,True
Fail\Dent\250827_104700_A35W_19-2 [16384].bmp,7477fbcd9782851ae00971fb54a8f400,Dent,250827_104700,7477fbcd9782851ae00971fb54a8f400_v1_fefa1c62.png,305,700,1976,1305,True
Fail\Dent\250827_104700_A35W_21-3 [16].bmp,d05161e296a6f21a3445746b56920a52,Dent,250827_104700,d05161e296a6f21a3445746b56920a52_v1_fefa1c62.png,293,581,2080,1226,True
Fail\Dent\250827_104700_A35W_22-3 [16].bmp,291486385d29e6f5fe260cf990c6ff54,Dent,250827_104700,291486385d29e6f5fe260cf990c6ff54_v1_fefa1c62.png,263,599,1982,1244,True
Fail\Dent\250907_142008_A35W_11-3 [16].bmp,4380dff8c82c358f8e4a2038bcf683d0,Dent,250907_142008,4380dff8c82c358f8e4a2038bcf683d0_v1_fefa1c62.png,281,584,1964,1203,True
Fail\Dent\250907_142008_A35W_4-1 [1024].bmp,4ee07437d98cba08b1d25da4f14253f8,Dent,250907_142008,4ee07437d98cba08b1d25da4f14253f8_v1_fefa1c62.png,189,664,2295,1335,True
Fail\Dent\250907_142008_A35W_5-2 [16].bmp,a8d817f591048af3b088d36ce0e5a89c,Dent,250907_142008,a8d817f591048af3b088d36ce0e5a89c_v1_fefa1c62.png,287,677,1956,1288,True
