relpath,filename,class,run,part,shot,code,width,height,hash,ahash,issues,valid,layout
Fail\Dent\250825_151708_A35W_14-3 [16].bmp,250825_151708_A35W_14-3 [16].bmp,Dent,250825_151708,14,3,16,2448,2048,8845902c8dea51a8b9e1d041c3fcf3a1,0000000000000000000000001111111011111110011111100000000000000000,,True,L0
Fail\Dent\250825_151708_A35W_15-3 [16].bmp,250825_151708_A35W_15-3 [16].bmp,Dent,250825_151708,15,3,16,2448,2048,a9b9d35c110cf59c881ccaa1c6a3daa3,0111110000000000000000001111111011111110011111100000000000000000,,True,L0
Fail\Dent\250825_151708_A35W_16-3 [16].bmp,250825_151708_A35W_16-3 [16].bmp,Dent,250825_151708,16,3,16,2448,2048,fe3d99181d235f4a0c07b2995c8d7240,0111100000000000000000001111111011111110011111100000000000000000,,True,L0
Fail\Dent\250825_151708_A35W_17-3 [16].bmp,250825_151708_A35W_17-3 [16].bmp,Dent,250825_151708,17,3,16,2448,2048,d3b73ff5fa858d95d66784973f245854,0111110000000000000000001111111011111110011111100000000000000000,,True,L0
Fail\Dent\250825_151708_A35W_18-3 [16].bmp,250825_151708_A35W_18-3 [16].bmp,Dent,250825_151708,18,3,16,2448,2048,bd024be654e650cdcc9336e985cb1d4a,0111100000000000000000001111111011111110011111100000000000000000,,True,L0
Fail\Dent\250825_151708_A35W_19-3 [16].bmp,250825_151708_A35W_19-3 [16].bmp,Dent,250825_151708,19,3,16,2448,2048,ec1f3e5c95c931da9fdeb4853e673270,0111110000000000000000001111111011111110011111100000000000000000,,True,L0
Fail\Dent\250825_151708_A35W_4-1 [1024].bmp,250825_151708_A35W_4-1 [1024].bmp,Dent,250825_151708,4,1,1024,2448,2048,9828989fee429652acf8b36bc6341945,0000000000000000000000000111111101111111000000000000000000000000,,True,L0
Fail\Dent\250825_151708_A35W_5-1 [1024].bmp,250825_151708_A35W_5-1 [1024].bmp,Dent,250825_151708,5,1,1024,2448,2048,7c5850a89d05a60088a36b7515120056,0000000000000000000000000111111101111111000000000000000000000000,,True,L0
Fail\Dent\250825_151708_A35W_6-1 [1024].bmp,250825_151708_A35W_6-1 [1024].bmp,Dent,250825_151708,6,1,1024,2448,2048,be97524151869fb99cc3955681af976a,0000000000000000000000000111111101111111000000000000000000000000,,True,L0
Fail\Dent\250825_151708_A35W_7-1 [1024].bmp,250825_151708_A35W_7-1 [1024].bmp,Dent,250825_151708,7,1,1024,2448,2048,3076f2ef12cb75f1b571130f6768bf98,0000000000000000000000000111111111111111000000000000000000000000,,True,L0
Fail\Dent\250825_151708_A35W_8-1 [1024].bmp,250825_151708_A35W_8-1 [1024].bmp,Dent,250825_151708,8,1,1024,2448,2048,4d5c1371e9e6ff562e36becf6de9bfd2,0000000000000000000000000111111101111111000000000000000000000000,,True,L0
Fail\Dent\250825_151708_A35W_9-1 [1024].bmp,250825_151708_A35W_9-1 [1024].bmp,Dent,250825_151708,9,1,1024,2448,2048,12f873973688d6a702ba2e6d388c7755,0000000000000000000000000111111111111111000000000000000000000000,,True,L0
Fail\Dent\250827_104700_A35W_14-1 [1024].bmp,250827_104700_A35W_14-1 [1024].bmp,Dent,250827_104700,14,1,1024,2448,2048,087d88823a511e497631825c8eb56027,0000000000000000000000000111111101111111000000000000000000000000,,True,L0
Fail\Dent\250827_104700_A35W_15-1 [1024].bmp,250827_104700_A35W_15-1 [1024].bmp,Dent,250827_104700,15,1,1024,2448,2048,ac4c79d7ed62ebc0dc501879520bf156,0000000000000000000000000111111101111111000000000000000000000000,,True,L0
Fail\Dent\250827_104700_A35W_17-1 [1024].bmp,250827_104700_A35W_17-1 [1024].bmp,Dent,250827_104700,17,1,1024,2448,2048,0702f93bc3f768385f051ba2eb326755,0000000000000000000000000111111101111111000000000000000000000000,,True,L0
Fail\Dent\250827_104700_A35W_19-2 [16384].bmp,250827_104700_A35W_19-2 [16384].bmp,Dent,250827_104700,19,2,16384,2448,2048,7477fbcd9782851ae00971fb54a8f400,0000000000000000000000001111111111111111000000000000000000000000,,True,L0
Fail\Dent\250827_104700_A35W_21-3 [16].bmp,250827_104700_A35W_21-3 [16].bmp,Dent,250827_104700,21,3,16,2448,2048,d05161e296a6f21a3445746b56920a52,0000000000000000001100001111111011111110011111100000000000000000,,True,L0
Fail\Dent\250827_104700_A35W_22-3 [16].bmp,250827_104700_A35W_22-3 [16].bmp,Dent,250827_104700,22,3,16,2448,2048,291486385d29e6f5fe260cf990c6ff54,0111000000000000000000001111111011111110011111100000000000000000,,True,L0
Fail\Dent\250907_142008_A35W_11-3 [16].bmp,250907_142008_A35W_11-3 [16].bmp,Dent,250907_142008,11,3,16,2448,2048,4380dff8c82c358f8e4a2038bcf683d0,0000000000000000011110101111111011111110011111100000000000000000,,True,L0
Fail\Dent\250907_142008_A35W_4-1 [1024].bmp,250907_142008_A35W_4-1 [1024].bmp,Dent,250907_142008,4,1,1024,2448,2048,4ee07437d98cba08b1d25da4f14253f8,0000000000000000000000000111111101111111000000000000000000000000,,True,L0
Fail\Dent\250907_142008_A35W_5-2 [16].bmp,250907_142008_A35W_5-2 [16].bmp,Dent,250907_142008,5,2,16,2448,2048,a8d817f591048af3b088d36ce0e5a89c,0000000000000000000000001111111111111111000000000000000000000000,,True,L0
Fail\Dent\250907_142008_A35W_7-2 [16].bmp,250907_142008_A35W_7-2 [16].bmp,Dent,250907_142008,7,2,16,2448,2048,705cb6bd064c72d1cffff80b0c0f05f9,0000000000000000000000001111111111111111000000000000000000000000,,True,L0
Fail\Dent\250907_142008_A35W_7-3 [16].bmp,250907_142008_A35W_7-3 [16].bmp,Dent,250907_142008,7,3,16,2448,2048,7a0c968cc7b6ab4844ddb6fee3e8a87f,0000000000000000011010001111111011111110011111100000000000000000,,True,L0
Fail\Dent\250907_142008_A35W_9-2 [16].bmp,250907_142008_A35W_9-2 [16].bmp,Dent,250907_142008,9,2,16,2448,2048,f7d97e17e66c45dfb17b750148412401,0000000000000000000000001111111111111111000000000000000000000000,,True,L0
Fail\Dent\250907_142008_A35W_9-3 [16].bmp,250907_142008_A35W_9-3 [16].bmp,Dent,250907_142008,9,3,16,2448,2048,8ca318850f2aae0e04a9203f61888504,0000000000000000011110101111111011111110011111100000000000000000,,True,L0
